Date,Startup,Industry,Locations,Investors,Type,Turnover
2017-04-07,Pharmeasy,Ecommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private,180
2017-04-08,Fastfox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, Cyberagent Ventures, Growx Ventures, Imj Investment Partners",Private,46
2017-04-10,Omnify,Tech,Bangalore,"Rajan Anandan, Ld Sharma, Saurabh Arora",Seed,2
2017-04-10,Capital Float,Consumer Internet,Bangalore,Mahindra And Mahindra Financial Services,Private,23
2017-04-11,Ninjacart,Ecommerce,Bangalore,"Accel Partners, Nandan Nilekanis Nrjn Trust, Mistletoe, Qualcomm Ventures, Ms Partners",Private,55
2017-04-11,Mergerware,Tech,Bangalore,Philippe Bouchet,Seed,1
2017-04-12,Clovia,Ecommerce,New-Delhi,"Ivycap Ventures Advisors, Singularity Ventures And Ravi Dhariwal",Private,40
2017-04-12,Emiza,Logistics,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private,45
2017-04-12,Hackerearth,Consumer Internet,Bangalore,"Dhi Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, Bizreach",Private,45
2017-04-12,Squadrun,Tech,Noida,"Blume Ventures, Contrarian Capital, 91Springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private,21
2017-04-13,Weareholidays,Consumer Internet,Gurgaon,"Urrshila Kerkar,",Private,77
2017-04-14,Ola,Consumer Internet,Bangalore,Simi Pacific Pte,Private,2600
2017-04-15,Myly,Consumer Internet,Jaipur,Mall Industries Development Bank Of India Sidbi,Seed,3
2017-04-17,Credihealth,Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private,15
2017-04-17,Snackible,Food Beverages,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed,2
2017-04-17,Be U Salons,Consumer Internet,New-Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed,6
2017-04-17,Lending Kart,Consumer Internet,Ahmedabad,Anicut Capital,Private,46
2017-04-18,Innefu Security Consulting,Tech,New-Delhi,Indianivesh Venture Capital Fund,Private,20
2017-04-18,Whodat,Tech,Bangalore,Ideaspring Capital,Private,6
2017-04-18,Absentia Vr,Tech,Bangalore,Exfinity Venture Partners,Private,12
2017-04-19,Iotrek,Tech,New-Delhi,Undisclosed Investor,Seed,2
2017-04-20,Holachef,Consumer Internet,Mumbai,"Sidbi Venture Capital Ltd, Kalaari Capital",Private,30
2017-04-21,Video Ken,Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, Lg Chandrasekhar, Sashi Reddi",Seed,10
2017-04-24,Faasos,Food Beverages,Pune,"Ligthbox Ventures Ii, Lightbox Expansion Fund, Sequoia Capital India, Runet South Asia, Rb Investments",Private,63
2017-04-24,Oyo,Consumer Internet,Gurgaon,"Softbank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private,2500
2017-04-24,Toppr,Consumer Internet,Mumbai,Wgg International,Private,32
2017-04-25,The Office Pass,Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma",Seed,2
2017-04-25,Urbanclap,Consumer Internet,Gurgaon,Trifecta Capital,Private,31
2017-04-26,Awfis,Consumer Internet,Mumbai,Sequoia India,Private,200
2017-04-26,Flytxt,Tech,Mumbai,Dah Beteiligungs Gmbh,Private,110
2017-04-26,Howdy Ventures,Consumer Internet,Chennai,S Xavier Britto,Seed,15
2017-04-26,Stalkbuylove,Ecommerce,New-Delhi,Trifecta Capital,Private,10
2017-04-27,Scootsy,Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings",Private,36
2017-04-27,Inurture,Consumer Internet,Bangalore,Blacksoil Capital Pvt Ltd,Private,15
2017-04-28,Sepalika,Consumer Internet,New-Delhi,Accel Partners,Seed,8
2017-03-01,Ola,Consumer Internet,Bangalore,Softbank Group Corp,Private,3300
2017-03-01,Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private,100
2017-03-02,Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private,15
2017-03-02,Karomi,Tech,Chennai,Ideaspring Capital,Seed,5
2017-03-02,Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private,25
2017-03-02,Creditmantri,Consumer Internet,Chennai,Quona Capital,Private,76
2017-03-03,Tydy,Tech,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed,3
2017-03-03,Oho Shop,Tech,Ahmedabad,"Bennett, Coleman And Company Ltd",Private,67
2017-03-03,Paytm,Ecommerce,Bangalore,Alibaba,Private,2000
2017-03-04,Igenetics,Health Care,Mumbai,Cdc Group Plc,Private,195
2017-03-06,Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed,12
2017-03-06,Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed,2
2017-03-06,Pickme,Consumer Internet,Mumbai,Sidbi Venture Capital Fund,Private,18
2017-03-07,Agrostar,Tech,Pune,Accel Partners,Private,100
2017-03-07,Zapr,Tech,Bangalore,Star India Pvt Ltd,Private,100
2017-03-07,Data Resolve,Tech,Noida,Idfc Parampara Early Stage Opportunities Fund,Private,10
2017-03-07,Book Servicing,Consumer Internet,New-Delhi,National Science And Technology Entrepreneurship Development Board,Seed,0
2017-03-07,Blowhorn,Consumer Internet,Bangalore,"Idg Ventures India, Michael  Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private,36
2017-03-08,Rivigo,Logistics,Gurgaon,Private Sector Banks Debt Funding,Private,150
2017-03-08,Pipecandy,Tech,Chennai,"Idg Ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network",Seed,11
2017-03-08,Supr Daily,Consumer Internet,Mumbai,Y Combinator,Seed,1
2017-03-09,Appbrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed,5
2017-03-09,Magicbricks,Consumer Internet,Mumbai,Times Internet Ltd,Private,45
2017-03-10,Peebuddy,Health Care,New-Delhi,Indian Angel Network,Seed,4
2017-03-10,Lavelle Networks,Tech,Bangalore,Ideaspring Capital,Seed,6
2017-03-15,Latestone,Ecommerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private,34
2017-03-15,Frapperz,Consumer Internet,Kolkata,Undisclosed Investor,Seed,1
2017-03-16,Mpaani,Consumer Internet,Mumbai,"Idg Ventures, Blume Ventures, Saha Fund,",Private,14
2017-03-16,Popxo,Consumer Internet,New-Delhi,"Gree Ventures, Kalaari Capital And Idg Ventures India, Summit Media, Atul Goel, And Gurpreet Singh",Private,31
2017-03-16,Fitso,Consumer Internet,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed,2
2017-03-21,Flipkart,Ecommerce,Bangalore,"Microsoft, Ebay, Tencent Holdings",Private,14000
2017-03-21,Airpay,Tech,Mumbai,"Kalaari Capital, Rakesh And Rajesh Jhunjhunwala",Private,37
2017-03-21,Myglamm,Consumer Internet,Mumbai,Loccitane,Private,53
2017-03-22,Haqdarshak,Consumer Internet,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed,2
2017-03-23,Ixigo,Consumer Internet,Gurgaon,"Sequoia Capital, Kinzon Capital",Private,150
2017-03-23,Markets And Markets,Tech,Pune,"Ftv Capital, Zodius Capital",Private,560
2017-03-24,Bizom,Tech,Bangalore,Ojas Ventures,Seed,4
2017-03-24,Delhivery,Tech,New-Delhi,"Carlyle Group, Tiger Global",Private,1000
2017-03-28,Fynd,Ecommerce,Mumbai,Venture Catalysts,Private,5
2017-03-28,Donething,Consumer Internet,Gurgaon,Brand Capital,Private,3
2017-03-29,Ithaka,Consumer Internet,Mumbai,"Ankit Gupta, Puneet Motihar",Seed,3
2017-03-29,Perpule,Ecommerce,Bangalore,Kstart Capital,Seed,6
2017-03-29,Licious,Ecommerce,Bangalore,"Mayfield India, 3One4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private,100
2017-03-29,Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Hemant Kaul, Prof Ram Kumar Kakani  Others",Seed,0
2017-03-31,Jhakaas,Consumer Internet,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed,2
2017-03-31,Oriano Solar,Tech,Mumbai,Samridhi Fund,Private,30
2017-03-31,Big Basket,Ecommerce,Bangalore,Trifecta Capital,Private,70
2017-03-31,Icertis,Tech,Pune,"B Capital Group, Ignition Partners, Greycroft, Eventures,Xc2Xa0 Eight Roads Ventures",Private,250
2017-02-06,Capital Float,Consumer Internet,Bangalore,Ifmr Capital Finance,Private,25
2017-02-07,Inner Hour,Consumer Internet,Mumbai,"Batlivala  Karani Securities, Venture Works",Seed,4
2017-02-07,Travel Triangle,Consumer Internet,Noida,"Rb Investments, Saif Partners, Bessemer Venture Partners",Private,100
2017-02-08,Wandertrails,Consumer Internet,Bangalore,Earlsfield Capital,Seed,10
2017-02-08,Zenatix,Tech,Gurgaon,"Pi Ventures, Blume Ventures",Private,12
2017-02-08,Cartrade,Consumer Internet,Mumbai,Temasek Holdings,Private,550
2017-02-08,Edurev,Consumer Internet,Gurgaon,Facebook Fb Start Programme,Seed,0
2017-02-09,Voonik,Ecommerce,Bangalore,"Rb Investments, Sequoia Capital",Private,60
2017-02-09,Wooplr,Ecommerce,Bangalore,"Sistema Asia Fund, Amereus Group, Helion Ventures",Private,80
2017-02-10,48East,Ecommerce,Bangalore,Al Dhaheri Family,Private,5
2017-02-13,Sigtuple,Tech,Bangalore,"Accel Partners, Idg Ventures, Endiya Partners, Pi Ventures, Vh Capital, Axilor Partners",Private,58
2017-02-13,Flutura,Tech,Bangalore,"Vertex Ventures, Lumis Partners",Private,75
2017-02-13,Wassup,Consumer Internet,Chennai,Anil Jain  Other Hnis,Private,32
2017-02-13,Better Mortgage,Consumer Internet,Gurgaon,"Kleiner Perkins, Goldman Sachs, Pine Brook",Private,150
2017-02-13,Nurturey,Consumer Internet,New-Delhi,Mohit Joshi  Others,Seed,3
2017-02-13,Fyle Technologies,Tech,Bangalore,Pravega Ventures,Seed,4
2017-02-14,Gobumpr,Consumer Internet,Chennai,"Mahalingam K, Girish Mathrubootham",Seed,3
2017-02-14,Ccavenue,Consumer Internet,Mumbai,Infibeam,Private,224
2017-02-15,Zest Money,Consumer Internet,Bangalore,"Payu, Ribbit Capital, Omidyar Network",Private,65
2017-02-15,Airzaar,Tech,Missourie,Quake Capital,Seed,4
2017-02-16,Truebil,Consumer Internet,Mumbai,Shunwei Capital,Private,30
2017-02-16,Yourstory,Consumer Internet,Bangalore,"Kalaari Capital Partners, Qualcomm, 3One4 Capital Advisors, Uc-Rnt",Private,30
2017-02-17,Imaginate,Tech,Hyderabad,Sri Capital,Seed,5
2017-02-17,The Ken,Consumer Internet,Bangalore,"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma  Others",Seed,4
2017-02-17,Urban Ladder,Ecommerce,Bangalore,"Kalaari Capital, Saif Partners, Steadview Capital, Sequoia Capital",Private,152
2017-02-17,Leopetra,Ecommerce,Mumbai,Facebook Fbstart,Seed,0
2017-02-18,Blood N Care,Consumer Internet,Gurgaon,Facebook Fbstart,Seed,0
2017-02-20,Flipkart,Ecommerce,Bangalore,"Bennett, Coleman And Co Ltd Bccl",Private,387
2017-02-21,True Balance,Consumer Internet,Gurgaon,"Softbank Ventures Korea, Imm Investment",Private,150
2017-02-22,Vebbler,Consumer Internet,Bangalore,Facebook Fbstart,Seed,0
2017-02-23,Get My Parking,Consumer Internet,New-Delhi,"Indian Angel Network Ian, Beenext, The Chennai Angels, Sunil Munjal",Private,11
2017-02-27,Biryani By Kilo,Consumer Internet,Gurgaon,"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh  Others",Seed,4
2017-02-27,Johari Shop,Ecommerce,Bangalore,Undisclosed Investors,Seed,1
2017-02-28,Neostencil,Consumer Internet,New-Delhi,"Brand Capital, Paragon Trust",Private,10
2017-02-28,Blackbuck,Logistics,Bangalore,"Sands Capital, Ifc, Accel Partners, Flipkart, Sanjiv Rangrass",Private,700
2017-01-02,Taxsutra,Consumer Internet,Pune,"Tv Mohandas Pai, V Balakrishnan, Pv Srinivasan",Seed,4
2017-01-03,Tempogo,Tech,Panaji,K2 Capital,Seed,8
2017-01-06,Leap India,Logistics,Mumbai,"India Nivesh Growth Fund, Sixth Sense, Tci Ventures",Private,130
2017-01-07,Freecharge,Consumer Internet,Mumbai,Jasper Infotech Pvt Ltd,Private,570
2017-01-09,Ticketnew,Consumer Internet,Chennai,Alibaba Pictures,Private,350
2017-01-10,Intelligence Node,Tech,Mumbai,Blacksoil Capital Pvt Ltd,Private,8
2017-01-10,Securens,Tech,Mumbai,"Mayfield India, Trifecta Capital",Private,50
2017-01-10,Loan Frame,Consumer Internet,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private,22
2017-01-10,Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed,1
2017-01-10,Lenskart,Ecommerce,Bangalore,Ronnie Screwvala,Private,35
2017-01-12,Hanselio,Consumer Internet,Bangalore,"Idg Ventures, Endiya Partners",Private,14
2017-01-12,Square Yards,Consumer Internet,Gurgaon,"Lohia Group, Andre Hoffman",Private,100
2017-01-13,Roambee,Tech,Mumbai,Deutsche Telekom Strategic Investments  Others,Private,41
2017-01-13,Iservice,Consumer Internet,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed,4
2017-01-14,Unacademy,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private,45
2017-01-16,Zolostays,Consumer Internet,Bangalore,"Nexus Venture Partners, Innoven Capital",Private,50
2017-01-16,Hipcouch,Consumer Internet,Mumbai,Undisclosed Investors,Seed,7
2017-01-17,Curiositi,Consumer Internet,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private,8
2017-01-17,Tinystep,Consumer Internet,Bangalore,Flipkart,Private,20
2017-01-17,Practo,Consumer Internet,Bangalore,"Tencent,Xc2Xa0 Ru-Net, Rsi Fund, Thrive Capital",Private,550
2017-01-17,Ketchupp,Consumer Internet,New-Delhi,India Quotient And Others,Seed,4
2017-01-17,Hoopy,Consumer Internet,Gwalior,Undisclosed Investors,Seed,5
2017-01-17,Ezytruk,Consumer Internet,Bangalore,"Ajith Nair, Anish K",Seed,1
2017-01-18,Vahdam Teas,Ecommerce,New-Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed,6
2017-01-18,Qwikspec,Tech,Bangalore,Undisclosed Investors,Seed,3
2017-01-19,Weddingzin,Consumer Internet,Mumbai,Singularity Ventures,Private,10
2017-01-22,Messagif,Consumer Internet,New-Delhi,Undisclosed Investor,Seed,0
2017-01-23,Cuemath,Tech,New-Delhi,"Capitalg, Sequoia India",Private,150
2017-01-24,Khel Now,Consumer Internet,Bangalore,Indochine International,Private,5
2017-01-24,Nowfloats,Consumer Internet,Hyderabad,"Iron Pillar And Iifl, Blume Ventures, Omidyar Network",Private,100
2017-01-24,Lets Transport,Consumer Internet,Bangalore,"Gmo Japan, Neelesh Bhatnagar",Private,40
2017-01-25,Rml Agtech,Tech,Pune,Ivycap Ventures,Private,40
2017-01-25,Instasafe,Tech,Bangalore,Abm Knowledgeware,Private,22
2017-01-25,Infibeam,Ecommerce,Ahmedabad,"Bennett, Coleman And Company Ltd",Private,88
2017-01-26,Airmed Labs,Consumer Internet,Ahmedabad,Brand Capital,Private,14
2017-01-26,99Perhour,Consumer Internet,Chennai,V Aanand R,Seed,3
2017-01-30,Intuit Things,Tech,Mumbai,Sanjay Mehta  Others  The Ten Minute Million,Seed,1
2017-01-30,Cloudrino,Tech,New-Delhi,The Ten Minute Million,Seed,0
2017-01-30,Fabx,Ecommerce,Mumbai,The Ten Minute Million,Seed,1
2017-01-30,Maptags,Consumer Internet,Bangalore,The Ten Minute Million,Seed,0
2017-01-31,Heads Up For Tails,Ecommerce,New-Delhi,Undisclosed Investors,Private,20
2016-12-01,Sidqam,Tech,Noida,"Sque Capital, Grace Capital Ventures, Soham Vencaps",Private,12
2016-12-01,India Lends,Consumer Internet,New-Delhi,"Dsg Consumer Partners, American Express Ventures, Cyber Carrier Vc, Advantedge Partners",Private,40
2016-12-01,Slide App,Consumer Internet,New-Delhi,Songhyun Investment,Private,36
2016-12-02,Badiyajobs,Consumer Internet,New-Delhi,Undisclosed,Seed,1
2016-12-02,Tygr,Tech,Mumbai,Franchise India,Private,30
2016-12-05,Urdoorstep,Ecommerce,Bangalore,Lakshmi Vilas Bank  Undisclosed Hnis,Private,14
2016-12-06,Diro Labs,Consumer Internet,New-Delhi,Info Edge India,Seed,1
2016-12-07,Revv,Consumer Internet,New-Delhi,Edelweiss Private Equity,Private,90
2016-12-07,Wealthapp,Consumer Internet,Bangalore,"Venk Krishnan, Mj Aravind, Vikram Kotak, Jayant Davar,Xc2Xa0 Ramkumar Nishtal, Arjun Sharmaa",Seed,4
2016-12-08,Zest Money,Consumer Internet,Mumbai,Payu,Private,65
2016-12-08,Gomechanic,Consumer Internet,Gurgaon,Venture Catalysts,Seed,2
2016-12-09,Stalk Buy Love,Ecommerce,New-Delhi,Kalaari Capital,Private,60
2016-12-09,Wittyparot,Tech,Bangalore,Mumbai Angels,Seed,4
2016-12-09,Neuroequilibrium,Tech,Jaipur,Unicorn India Ventures,Seed,2
2016-12-12,Xseed Education,Tech,Bangalore,Verlinvest Sa,Private,100
2016-12-12,Rupaiya Exchange,Consumer Internet,New-Delhi,Undisclosed Investors,Seed,2
2016-12-12,Doctor Insta,Consumer Internet,Gurgaon,Roundglass Partners,Private,20
2016-12-12,Fresh Food Concepts,Food Beverages,New-Delhi,"Siddhartha Gupta, Ashvin Chadha",Seed,20
2016-12-13,Indifi,Consumer Internet,Gurgaon,Omidyar Network,Private,100
2016-12-13,Ofbusiness,Ecommerce,Gurgaon,"Zodius Technology Opportunities Fund, Matrix Partners",Private,111
2016-12-14,Qacco,Consumer Internet,Gurgaon,"Lead Angels Network, Anbu Pandian, Prabhakar Mr  Others",Seed,2
2016-12-14,Fitpass,Consumer Internet,New-Delhi,Mumbai Angels,Seed,10
2016-12-14,Trading Bells,Consumer Internet,Indore,Swastika Investmart Ltd,Seed,3
2016-12-15,Servd,Consumer Internet,Pune,Digital Financial Service Lab,Seed,1
2016-12-15,Ideaforge,Tech,Mumbai,"Wrv Capital And Indusage Partners, Infosys Innovation Fund",Private,100
2016-12-15,Amagi Media Labs,Tech,Mumbai,"Emerald Media, Premji Invest",Private,350
2016-12-15,Pocket Aces,Tech,Mumbai,"Sequoia Capital India, North Base Media, Aarin Capital, 3One4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon",Private,30
2016-12-16,Pi Data Centers,Tech,Hyderabad,Epsilon Venture Partners,Private,230
2016-12-16,Tripshelf,Consumer Internet,New-Delhi,"Gems Advisory, Quarizon",Seed,1
2016-12-19,Nobroker,Consumer Internet,Bangalore,"Ktb Network, Saif Partners, Beenext, Digital Garage",Private,74
2016-12-20,Vivocarat,Ecommerce,Mumbai,Undisclosed Investors,Seed,0
2016-12-20,Byjus,Consumer Internet,Bangalore,International Financial Corporation,Private,150
2016-12-21,The Bluebook,Consumer Internet,Bangalore,"Indian Angel Network, Lets Venture",Seed,5
2016-12-21,Vegetall,Ecommerce,Chennai,The Chennai Angels,Seed,2
2016-12-22,Mindler,Consumer Internet,New-Delhi,Taxmann,Seed,3
2016-12-22,Mcaffeine,Ecommerce,Bangalore,"Kaushal Agarwal, Harminder Sahani, Kk Mehra, Pranay Jivrajka, Navjot Saini",Seed,3
2016-12-23,Enkast,Tech,Bangalore,Ivy League Alumni Angel Network,Private,20
2016-12-26,Dekkho,Consumer Internet,Mumbai,Undisclosed Investors,Seed,12
2016-12-26,Shadowfox,Logistics,Gurgaon,Eight Roads Ventures,Private,100
2016-12-27,Shopx,Ecommerce,Bangalore,Nandan Nilekani,Private,50
2016-12-29,Healthifyme,Consumer Internet,Bangalore,Nb Ventures,Private,10
2016-11-01,Pickmylaundry,Consumer Internet,New-Delhi,"Kedar Lele, Ghv Accelerator",Seed,2
2016-11-02,Freshdesk,Consumer Internet,Chennai,"Sequoia Capital India, Accel Partners",Private,550
2016-11-02,Laundryanna,Consumer Internet,Bangalore,Undisclosed Investors,Seed,2
2016-11-03,Zarget,Tech,Chennai,Sequoia India,Private,60
2016-11-03,Easypolicy,Consumer Internet,Noida,"Unilazer Ventures,",Private,100
2016-11-04,Connect India,Logistics,Bangalore,Aavishkaar Venture Management,Private,10
2016-11-04,Corseco,Tech,New-Delhi,"Ameera Shah, Vivek Bhargava",Seed,2
2016-11-05,Medzin,Ecommerce,New-Delhi,A M Sikander,Seed,0
2016-11-05,Bizongo,Ecommerce,Mumbai,"Idg Ventures, Accel Partners",Private,30
2016-11-07,Rivigo,Tech,Gurgaon,Warburg Pincus,Private,750
2016-11-07,Justride,Consumer Internet,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, Scm Holdings",Private,30
2016-11-09,Iim Jobs,Consumer Internet,New-Delhi,India Quotient,Private,20
2016-11-09,Square Yards,Consumer Internet,Gurgaon,Adag Reliance Private Equity,Private,120
2016-11-10,Golflan,Consumer Internet,New-Delhi,"Yournest Angel Fund, Ison",Private,10
2016-11-14,Active Ai,Tech,Singapore,"Kalaari Capital, Idg Ventures India",Private,30
2016-11-14,Elasticrun,Tech,Pune,"Kalaari Capital, Norwest Venture Partners",Private,20
2016-11-15,Zefo,Ecommerce,Bangalore,"Sequoia India, Beenext, Helion Ventures",Private,60
2016-11-15,Playsimple,Tech,Bangalore,"Saif Partners, Idg Ventures India",Private,40
2016-11-16,Stasis Labs,Tech,Bangalore,"Rtp-Hc, Wonder Ventures, Techstars Ventures  Others",Private,50
2016-11-17,Koovs,Ecommerce,New-Delhi,Times Of India Group  Existing Investors,Private,135
2016-11-17,Pictor Imaging,Consumer Internet,Mumbai,Quarizon,Seed,1
2016-11-18,Gramcover,Finance,New-Delhi,Omnivore Capital,Seed,10
2016-11-21,Bats On Delivery,Consumer Internet,Gurgaon,Devdeep Singh,Seed,1
2016-11-21,Numberzin,Tech,Gurgaon,"Kae Capital, Khosla Impact",Seed,6
2016-11-22,Housingcom,Consumer Internet,Mumbai,Softbank Group,Private,50
2016-11-22,Awesummly,Consumer Internet,Bangalore,"Vivek Bhargava, Ameera Shah",Seed,1
2016-11-22,Vymo,Tech,Bangalore,Sequoia India,Private,50
2016-11-22,Noddapp,Consumer Internet,Mumbai,Undisclosed Multiple Investors,Seed,1
2016-11-23,Knowlarity,Consumer Internet,Bangalore,"Delta Partners, Sequoia India,Xc2Xa0 Mayfield, Blacksoil, Trifecta Capital",Private,200
2016-11-23,Infisecure,Tech,Mumbai,"Idg Ventures, Axilor Ventures",Seed,6
2016-11-23,Udaan,Ecommerce,Bangalore,"Lightspeed Venture Partners India, Lightspeed Us",Private,100
2016-11-24,Sharechat,Consumer Internet,Mumbai,"Lightspeed India Partners, Saif Partners, India Quotient, Venture Highway",Private,40
2016-11-28,Kloseby,Consumer Internet,Bangalore,Undisclosed Investor,Seed,1
2016-11-28,Wholesalebox,Ecommerce,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private,20
2016-11-29,Affordplan,Consumer Internet,New-Delhi,"Prime Venture Partners, Kalaari Capital",Private,30
2016-11-30,Handytrain,Consumer Internet,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida  Others",Private,10
2016-11-30,Shopsup,Ecommerce,Bangalore,"Anand Sankeshwar, Yang Shu",Seed,10
2016-11-30,Indofash,Ecommerce,Bangalore,"Shekhar Sahu, Nitesh Pant",Seed,2
2016-11-30,Entropik,Tech,Bangalore,"Dileep Bhatt, Milind Chaudhary",Seed,2
2016-11-30,Marianaiq,Tech,Bangalore,Exfinity Venture Partners,Private,20
2016-11-30,Chai Thela,Food Beverages,Noida,Quarizon,Seed,2
2016-11-30,Interviewpad,Tech,Pune,Krishna Rokhale,Seed,1
2016-11-30,Math Buddy,Consumer Internet,Vadodara,Menterra Social Impact Fund,Seed,4
2016-11-30,Pulse,Consumer Internet,Bangalore,Saif Partners,Private,5
2016-11-30,Carcrewin,Consumer Internet,Mumbai,Tvs Group,Seed,5
2016-10-03,Mystifly,Consumer Internet,Bangalore,Recruit Holdings,Private,50
2016-10-03,Uniphore,Tech,Chennai,"Idg Ventures, Indian Angel Network Ian, Yournest Angel Fund",Private,20
2016-10-03,World Art Community,Ecommerce,Gurgaon,Viraj Tyagi  Others,Seed,2
2016-10-04,Giftxoxo,Ecommerce,Bangalore,Mahindra Holidays  Resorts India Ltd,Private,4
2016-10-04,India Gifts Portal,Ecommerce,Noida,"Naveen Arya, Tarun Joshi",Private,20
2016-10-04,Moglix,Ecommerce,Noida,"Accel Partners, Jungle Ventures, Seedplus",Private,42
2016-10-04,Netlinx,Consumer Internet,Hyderabad,"Xchange Investors Nv, Transglobal Fzc",Private,30
2016-10-04,Remitr,Consumer Internet,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,Xc2Xa0 Smart Start Fund; Kunal Shah,Xc2Xa0 Sandeep Tandon, Vishal Gondal,  Others",Seed,10
2016-10-04,Innerchef,Consumer Internet,Gurgaon,"Mistletoe, Ms Partners",Private,25
2016-10-04,Appsdaily,Consumer Internet,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian Venture Capital Fund Ru-Net, Mumbai Angels",Private,38
2016-10-05,Ue Lifesciences,Tech,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private,12
2016-10-06,Realbox,Tech,Noida,Hyderabad Angels,Seed,3
2016-10-06,Gozefo,Ecommerce,Bangalore,"Helion Venture Partners, Beenext",Private,10
2016-10-07,Rayiot,Tech,Bangalore,Hax Accelerator,Seed,1
2016-10-07,Kooh Sports,Tech,Mumbai,"Hdfc, Faering Capital, Elevate Sports",Private,22
2016-10-07,Flexiloans,Consumer Internet,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private,150
2016-10-10,Vithicom,Ecommerce,New-Delhi,Undisclosed Investor,Seed,4
2016-10-11,Yupp Tv,Consumer Internet,Bangalore,Emerald Media,Private,500
2016-10-11,Deyor Camps,Consumer Internet,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed,5
2016-10-13,Faballey,Ecommerce,Noida,"India Quotient, Fao Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private,20
2016-10-13,Robovac,Tech,Ahmedabad,Virendra Patel,Seed,4
2016-10-14,Newspatrolling,Consumer Internet,New-Delhi,Undisclosed,Seed,0
2016-10-14,Postman,Consumer Internet,Bangalore,Nexus Venture Partners,Private,70
2016-10-14,Isfc,Finance,Hyderabad,Gray Matters Capital,Private,60
2016-10-15,Dailyhunt,Consumer Internet,Bangalore,"Bytedance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,Xc2Xa0 Falcon Edge",Private,250
2016-10-15,Tazzo Bikes,Consumer Internet,Hyderabad,Dsg Consumer Partners,Seed,2
2016-10-15,Mykindofjob,Consumer Internet,Mumbai,"Mayank Shah, Shreyans Shah",Seed,10
2016-10-17,Yumigo,Consumer Internet,Gurgaon,Hemant Sahni,Seed,3
