Date,Startup,Industry,Locations,Investors,Type,Turnover
2019-11-20,Aye Finance,Fintech,Gurgaon,Fintech,Debt,174
2019-11-12,Supergaming,Video Games,Pune,Dream Incubator,Seed,13
2019-11-20,Clumio,Saas,San-Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1350
2019-11-11,Ebikego,Last Mile Transportation,Amritsar,Startup Buddy,Seed,3
2019-11-19,Digital Mall Asia,Ecommerce,Delhi,Amour Infrastructure,Seed,2200
2019-11-18,Medikabazaar,Health Care,Mumbai,"Ackermans  Van Haaren, Healthquad, Rebright Partners, Toppan Printing",Series B,158
2019-11-15,Vogo Automotive,Last Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2830
2019-11-25,Paytm,Fintech,Noida,Vijay Shekhar Sharma,Funding,10000
2019-10-04,Dunzo,Customer Service,Bangalore,Lightbox,Series D,450
2019-10-02,Udaan,B2B,Bangalore,"Altimeter Capital, Dst Global",Series D,5850
2019-10-21,The Man Company,Consumer Goods,Gurgaon,Ayushmann Khurana,Corporate,0
2019-09-05,Fpl Technologies,Fintech,Pune,"Matrix Partners India, Sequoia India",Maiden,45
2019-09-04,Cashflo,Fintech,Mumbai,Saif Partners,Series A,33
2019-09-04,Digital F5,Advertising Marketing,Mumbai,Tiw Private Equity,Private,60
2019-09-04,3Rdflix,Saas,Hyderabad,Exfinity Venture Partners,Series A,50
2019-09-04,75F,Iot,Burnsville,Breakthrough Energy Ventures,Series A,180
2019-09-04,Myelin Foundry,Information Technology,Bangalore,Endiya Partners,Seed,10
2019-09-04,Atomberg Technology,Consumer Technology,Mumbai,A91 Partners,Series A,100
2019-09-04,Goqii,Health Care,Menlo Park,Bennett Coleman And Company Ltd Bccl,Series C,4500
2019-09-03,Vyapar App,Accounting,Bangalore,"India Quotient, Axilor Ventures",Series A,50
2019-08-01,Cardekho,Ecommerce,Gurgaon,Sc Gg India Mobility Holdings Llc,Series C,200
2019-08-01,Progcap,Finance,New-Delhi,Sequoia India,Series A,50
2019-08-01,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Venture,1400
2019-08-01,Pine Labs,Information Technology,Noida,Pine Labs Pte Ltd,Corporate,381
2019-08-12,Meesho,Ecommerce,Bangalore,Naspers,Series D,1250
2019-08-13,Cars24,Ecommerce,Gurgaon,Ms Dhoni,Series D,110
2019-08-13,Uniphore,Customer Service,Palo-Alto,March Capital Partners,Series C,510
2019-08-23,Zendrive,Automobile,San-Francisco,Xl Innovate,Series B,370
2019-08-23,Lo Foods,Consumer Goods,Bangalore,"Rashmi Daga Founder, Freshmenu, Raveen Sastry Co-Founder, Myntra And Mitesh Shah Finance Chief, Bookmyshow",Seed,5
2019-08-23,Tala,Fintech,Santa-Monica,Rps Ventures,Series D,1100
2019-08-22,Indwealth,Fintech,Gurgaon,Tiger Global Management,Venture,150
2019-08-21,Hungerbox,Food Beverages,Bangalore,One97 Communications Ltd,Series C,66
2019-08-23,Admitkard,Edtech,Noida,Growth Dna,Seed,10
2019-08-19,Mishry Reviews,Services,Gurgaon,Vir Sanghvi,Series A,0
2019-08-19,Grofers,Ecommerce,Gurgaon,Softbank Vision Fund,Series F,700
2019-08-27,Rapido,Transport,Bangalore,Westbridge Capital,Series B,39000
2019-07-02,Renew Buy,Finance,Gurgaon,"Lok Capital, Iifl Wealth",Series B,190
2019-07-02,Atlan,Information Technology,Singapore,Waterbridge Ventures,Series A,25
2019-07-01,Wizcounsel,Compliance,New-Delhi,Kapil Dev,Angel,1
2019-07-03,Ola,Transport,Kormangala,"Dig Investment Ab, Deshe Holdings, Samih Toukan And Hussam Khoury",Series J,10
2019-07-01,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,381
2019-07-04,Daalchini Technologies,Food Beverages,New-Delhi,Artha Venture,Seed,5
2019-07-10,Byjus,Edtech,Bangalore,Qatar Investment Authority,Private,1500
2019-07-11,Moglix,Ecommerce,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,600
2019-07-10,Ezyhaul,Tech,Singapore,Undisclosed,Series B,160
2019-07-10,Indus Os,Tech,Andheri,Ventureast,Series B,58
2019-07-10,Healthassure,Health Care,Mumbai,Blume Ventures,Series A,25
2019-07-09,House Of Msasaba,Luxury Label,Mumbai,Binny Bansal,Series A,10
2019-07-08,Board Infinity,Edtech,Chembur,Multiple Angel Investors,Angel,3
